activity_frequency,category_count,event_type_count,unique_products,unique_brands,average_spend
1,1,1,1,1,420.6
1,1,1,1,1,39.35
1,1,1,1,1,189.97
1,1,1,1,1,529.74
1,1,1,1,1,33.45
1,1,1,1,1,33.44
1,1,1,1,1,111.66
1,1,1,1,1,286.84
1,1,1,1,1,84.43
1,1,1,1,1,306.31
1,1,1,1,1,285.4
1,1,1,1,1,34.49
1,1,1,1,1,121.24
1,1,1,1,1,63.99
1,1,1,1,1,463.07
1,1,1,1,1,94.62
1,1,1,1,1,72.33
1,1,1,1,1,46.08
1,1,1,1,1,734.7
1,1,1,1,1,144.12
1,1,1,1,1,38.35
1,1,1,1,1,313.93
1,1,1,1,1,437.57
1,1,1,1,1,321.5
1,1,1,1,1,20.42
1,1,1,1,1,142.27
1,1,1,1,1,535.63
1,1,1,1,1,244.1
1,1,1,1,1,923.09
1,1,1,1,1,746.45
1,1,1,1,1,169.63
1,1,1,1,1,434.44
1,1,1,1,1,131.51
1,1,1,1,1,68.86
1,1,1,1,1,257.38
1,1,1,1,1,942.29
1,1,1,1,1,290.61
1,1,1,1,1,41.19
1,1,1,1,1,101.16
1,1,1,1,1,12.84
1,1,1,1,1,10.27
1,1,1,1,1,130.99
1,1,1,1,1,329.46
1,1,1,1,1,250.88
1,1,1,1,1,92.64
1,1,1,1,1,380.27
1,1,1,1,1,460.76
1,1,1,1,1,54.8
1,1,1,1,1,25.74
1,1,1,1,1,358.54
1,1,1,1,1,360.06
2,1,1,2,1,250.69
1,1,1,1,1,10.01
1,1,1,1,1,52.74
1,1,1,1,1,913.54
1,1,1,1,1,358.39
2,1,1,2,1,272.58000000000004
1,1,1,1,1,120.38
1,1,1,1,1,189.71
1,1,1,1,1,691.65
1,1,1,1,1,170.87
1,1,1,1,1,485.54
1,1,1,1,1,411.08
1,1,1,1,1,251.47
1,1,1,1,1,60.75
1,1,1,1,1,910.89
1,1,1,1,1,56.6
6,1,1,6,4,260.2683333333333
1,1,1,1,1,230.61
1,1,1,1,1,205.15
1,1,1,1,1,53.8
1,1,1,1,1,130.7
1,1,1,1,1,95.16
1,1,1,1,1,723.3
1,1,1,1,1,160.4
1,1,1,1,1,225.54
1,1,1,1,1,10.48
1,1,1,1,1,169.48
1,1,1,1,1,128.45
1,1,1,1,1,197.95
2,2,1,2,2,113.74
1,1,1,1,1,89.52
1,1,1,1,1,166.52
1,1,1,1,1,411.59
1,1,1,1,1,360.09
1,1,1,1,1,30.21
1,1,1,1,1,65.61
1,1,1,1,1,459.21
1,1,1,1,1,102.87
1,1,1,1,1,290.39
1,1,1,1,1,84.69
1,1,1,1,1,257.15
1,1,1,1,1,122.1
1,1,1,1,1,141.32
1,1,1,1,1,212.33
1,1,1,1,1,669.0
1,1,1,1,1,483.67
1,1,1,1,1,74.2
1,1,1,1,1,360.34
1,1,1,1,1,88.55
1,1,1,1,1,30.73
1,1,1,1,1,22.92
1,1,1,1,1,298.6
1,1,1,1,1,230.89
1,1,1,1,1,214.93
1,1,1,1,1,102.96
1,1,1,1,1,8.47
1,1,1,1,1,898.35
1,1,1,1,1,811.26
1,1,1,1,1,431.65
1,1,1,1,1,115.58
2,1,1,2,2,140.745
1,1,1,1,1,45.72
1,1,1,1,1,928.4
1,1,1,1,1,975.57
1,1,1,1,1,847.87
1,1,1,1,1,705.29
1,1,1,1,1,114.8
1,1,1,1,1,61.68
1,1,1,1,1,346.98
1,1,1,1,1,164.48
1,1,1,1,1,369.08
1,1,1,1,1,385.53
1,1,1,1,1,58.94
1,1,1,1,1,359.03
1,1,1,1,1,321.5
1,1,1,1,1,247.08
1,1,1,1,1,111.66
1,1,1,1,1,437.57
